IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"54.217.49.188","*.tools.interprefy.com","","","","","*.tools.interprefy.com|tools.interprefy.com","","false"
"54.217.49.191","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"54.217.49.201","*.dv-content.io","","","","","*.dv-content.io","","false"
"54.217.49.210","*.eu-west-1.cloudsearch.amazonaws.com","","","","","*.eu-west-1.cloudsearch.amazonaws.com","","false"
"54.217.49.209","*.podgroup.com","","","","","*.podgroup.com|podgroup.com","","false"
"54.217.49.216","*.vendu.no","","","","","*.vendu.no","","false"
"54.217.49.217","canary.tools","","","","","*.canary.tools|canary.tools","","false"
"54.217.49.231","erm.pscadmin.com","","","","","erm.pscadmin.com","","false"
"54.217.49.243","*.bmat.com","","","","","*.bmat.com|bmat.com","","false"
"54.217.49.250","thetalentmanager.com","","","","","thetalentmanager.com|thetalentmanager.co.uk|*.thetalentmanager.co.uk|*.thetalentmanager.com","","false"
"54.217.49.254","prd.vdc1.plus.nl","","","","","prd.vdc1.plus.nl|web.censhare.prd.vdc1.plus.nl","","false"
"54.217.49.235","kube-apiserver","","","","","205439c387b1ae8424340b1b7045b2d0.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-113-216.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.14.218|172.16.113.216","false"
"54.217.50.19","*.veripos.com","Veripos Limited","GB","Aberdeen","","*.veripos.com|veripos.com","","false"
"54.217.50.32","stemea01.staging.truphone.com","Truphone Limited","GB","","London, City of","stemea01.staging.truphone.com","","false"
"54.217.50.46","*.outsystemsenterprise.com","Outsystems - Software Em Rede S.A.","PT","Linda-A-Velha","","*.outsystemsenterprise.com|outsystemsenterprise.com","","false"
"54.217.50.52","*.susf2dcc.easn.morningstar.com","","","","","*.susf2dcc.easn.morningstar.com","","false"
"54.217.50.48","*.moovitapp.com","","","","","*.moovitapp.com","","false"
"54.217.50.44","vse-vendor-prod.dub.amazon.com","Amazon.com Inc.","US","Seattle","Washington","vse-vendor-prod.dub.amazon.com|vendo-servi-1oogcxi9m5toe-accb201d4c9be8dd.elb.eu-west-1.amazonaws.com|vpce-0e33dfa04a1cc6cdb-cnjl7jzg.vpce-svc-0e5713e83c796f6dd.eu-west-1.vpce.amazonaws.com|vpce-0e33dfa04a1cc6cdb-cnjl7jzg-eu-west-1c.vpce-svc-0e5713e83c796f6dd.eu-west-1.vpce.amazonaws.com|vpce-0e33dfa04a1cc6cdb-cnjl7jzg-eu-west-1a.vpce-svc-0e5713e83c796f6dd.eu-west-1.vpce.amazonaws.com|vpce-0e33dfa04a1cc6cdb-cnjl7jzg-eu-west-1b.vpce-svc-0e5713e83c796f6dd.eu-west-1.vpce.amazonaws.com","","false"
"54.217.50.82","test.gillie.io","","","","","test.gillie.io","","false"
"54.217.50.85","*.supabase.co","","","","","*.supabase.co|*.supabase.in","","false"
"54.217.50.91","*.develop-goreport.services","","","","","*.develop-goreport.services","","false"
"54.217.50.107","redash.shiplus.co.il","","","","","redash.shiplus.co.il","","false"
"54.217.50.110","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"54.217.50.102","ce.audidatservices.com","","","","","ce.audidatservices.com","","false"
"54.217.50.128","fleet.live.sumup.net","","","","","fleet.live.sumup.net|*.fleet.live.sumup.net","","false"
"54.217.50.131","QNAP NAS","QNAP Systems, Inc.","TW","Taipei","Taipei","","","true"
"54.217.50.135","*.globalaccelerex.co.ke","","","","","*.globalaccelerex.co.ke","","false"
"54.217.50.143","*.gl74s1n0cpth6.eu-west-1.cs.amazonlightsail.com","","","","","*.gl74s1n0cpth6.eu-west-1.cs.amazonlightsail.com","","false"
"54.217.50.163","*.arisglobal.com","","","","","*.arisglobal.com","","false"
"54.217.50.140","*.cubemanager.fi","","","","","*.cubemanager.fi","","false"
"54.217.50.179","ledgability.co.uk","","","","","ledgability.co.uk|www.ledgability.co.uk","","false"
"54.217.50.158","*.beweegbuddy.be","","","","","*.beweegbuddy.be|beweegbuddy.be","","false"
"54.217.50.159","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"54.217.50.155","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.50.184","*.mapbox.com","","","","","*.mapbox.com|mapbox.com","","false"
"54.217.50.165","*.cambridge.org","Cambridge University Press","GB","CAMBRIDGE","","*.cambridge.org|cambridge.org","","false"
"54.217.50.200","eu-west-1.poc.aero.frontier.a2z.com","","","","","eu-west-1.poc.aero.frontier.a2z.com|aga.poc.aero.frontier.a2z.com|latency.origin.poc.aero.frontier.a2z.com","","false"
"54.217.50.220","bdtta.org","","","","","bdtta.org|*.bdtta.org","","false"
"54.217.50.213","admin.olebet.ua","","","","","admin.olebet.ua","","false"
"54.217.50.205","*.browserstack.com","","","","","*.browserstack.com|browserstack.com","","false"
"54.217.50.250","www.consultalex.gov.pt","Centro de Gestão da Rede Informática do Governo","PT","Lisboa","","www.consultalex.gov.pt|app.ceger.gov.pt|consultalex.gov.pt|prd-os.ceger.gov.pt|si.ceger.gov.pt|formularios.portugal.gov.pt","","false"
"54.217.51.5","*.qa.ring.com","Ring LLC","US","Hawthorne","California","*.qa.ring.com|qa.ring.com","","false"
"54.217.50.255","capturator.com","","","","","capturator.com|*.sillabi.com|*.capturator.com|sillabi.com","","false"
"54.217.51.37","*.challenger.developer.mediashuttle.com","","","","","*.challenger.developer.mediashuttle.com|challenger.developer.mediashuttle.com","","false"
"54.217.51.32","blob.data.api.platform.here.com","HERE Global BV","NL","Eindhoven","Noord-Brabant","blob.data.api.platform.here.com|*.blob.data.api.platform.here.com|*.data.api.platform.here.com|*.volatile-blob.data.api.platform.here.com","","false"
"54.217.51.54","activity.stage.api.bbc.co.uk","BRITISH BROADCASTING CORPORATION","GB","London","London","activity.stage.api.bbc.co.uk|activity.stage.api.bbc.com|activity.test.api.bbc.com|activity.int.api.bbc.com|activity.test.api.bbc.co.uk|activity.int.api.bbc.co.uk","","false"
"54.217.51.42","*.conductor.cimpress.io","","","","","*.conductor.cimpress.io","","false"
"54.217.51.68","sestranowapp.com","","","","","sestranowapp.com|www.sestranowapp.com","","false"
"54.217.51.71","rposcloud.com","","","","","*.rposcloud.com|rposcloud.com","","false"
"54.217.51.92","*.creditreportsmatter.co.uk","","","","","*.creditreportsmatter.co.uk|www.creditreportsmatter.co.uk","","false"
"54.217.51.98","adserve.systems","","","","","adserve.systems|*.adserve.systems","","false"
"54.217.51.118","*.steptelecoms.ie","","","","","*.steptelecoms.ie","","false"
"54.217.51.136","localhost","Kong","US","San Francisco","California","","","true"
"54.217.51.134","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.51.122","tytod.com","","","","","tytod.com|*.tytod.com","","false"
"54.217.51.139","*.ws.sonos.com","Sonos, Inc.","US","Santa Barbara","California","*.ws.sonos.com|ws.sonos.com","","false"
"54.217.51.150","pbx.wildix.com","WILDIX SRL","IT","","","","","true"
"54.217.51.131","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"54.217.51.155","zooka.fr","","","","","analytics.zooka.fr|www.zooka.fr|zooka.fr","","false"
"54.217.51.187","*.silverstoneauctions.com","","","","","*.silverstoneauctions.com|*.silverstoneauctions.co.uk","","false"
"54.217.51.183","fls-eu.amazon.com","","","","","fls-eu.amazon.com|fls-eu.amazon.eg|fls-eu.amazon.de|fls-eu.amazon.co.uk|fls-eu.amazon.nl|fls-eu.amazon.pl|fls-eu.amazon.se|fls-eu.amazon.co.za|fls-eu.amazon.es|fls-eu.amazon.sa|fls-eu.amazon.com.be|fls-eu.amazon.fr|fls-eu.amazon.it|fls-eu.amazon.com.ng|fls-eu.amazon.com.tr|fls-eu.amazon.in|fls-eu.amazon.ae","","false"
