IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.110.144.141","analytics-augs.adobe.com","","analytics-augs.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.102.39.200","*.dev.fusion.adobe.com","Adobe Inc.","*.dev.fusion.adobe.com|dev.fusion.adobe.com",""
"34.102.46.170","*.workfront.adobe.com","Adobe Inc.","*.workfront.adobe.com",""
"34.102.82.10","*.fusion.adobe.com","Adobe Inc.","*.fusion.adobe.com|fusion.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"54.247.0.237","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.1.244","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.1.53","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.6.92","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.10.42","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.11.1","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.17.53","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.18.47","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.21.109","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.25.106","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.25.196","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.26.18","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.27.229","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.30.167","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.51.28","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.51.182","*.preview.workfront.adobe.com","Adobe Inc.","*.preview.workfront.adobe.com",""
"54.247.55.228","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.57.169","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.63.21","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.73.95","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.77.150","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.78.86","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.88.168","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.99.125","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.106.131","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.114.23","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.123.206","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.127.50","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.127.142","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.129.150","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.132.32","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.132.50","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.132.203","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"54.247.136.44","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.139.196","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.140.217","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.141.171","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.141.235","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.145.3","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.147.55","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.152.17","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.152.117","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.155.187","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.159.196","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.160.12","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.168.92","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.172.240","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.174.122","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.175.0","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.181.26","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.181.239","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.184.238","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.185.157","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.189.218","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"54.247.191.249","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.118.87.243","marketplace.magento.com","","commercemarketplace.adobe.com|marketplace-m2.magento.com|marketplace.magento.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.134.150.8","*.preview.workfront.adobe.com","Adobe Inc.","*.preview.workfront.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"35.198.83.161","marketplace.magento.com","","commercemarketplace.adobe.com|marketplace-m2.magento.com|marketplace.magento.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.67.20.64","*.sb02.workfront.adobe.com","Adobe Inc.","*.sb02.workfront.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.28.104.158","*.workfront.adobe.com","Adobe Inc.","*.workfront.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.94.60.71","*.sb01.workfront.adobe.com","Adobe Inc.","*.sb01.workfront.adobe.com",""
"34.94.78.252","*.stg.workfront.adobe.com","Adobe Inc.","*.stg.workfront.adobe.com",""
"34.94.139.93","*.workfront-dev.adobe.com","Adobe Inc.","*.workfront-dev.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.94.199.153","*.preview.workfront.adobe.com","Adobe Inc.","*.preview.workfront.adobe.com",""
"34.94.216.189","*.app-dev.fusion.adobe.com","Adobe Inc.","*.app-dev.fusion.adobe.com|app-dev.fusion.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"35.202.31.219","*.sb01.workfront.adobe.com","Adobe Inc.","*.sb01.workfront.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"44.212.162.238","*.demdex.com","Adobe Inc.","*.demdex.com|aam.adobe.com|audiencemanager.adobe.com|demdex.com|*.demdex.net|audience-manager.adobe.com|demdex.net",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"44.212.242.97","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"44.213.31.26","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
